CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;DT_VALIDADE;CD_UNI_PRO;DS_UNIDADE
739444;1500;M692;2022-04-30;48872;CP5MG
755017;1500;M692;2022-04-30;48872;CP5MG
710774;1500;M692;2022-04-30;48872;CP5MG
724491;1500;M692;2022-04-30;48872;CP5MG
708514;1500;M692;2022-04-30;48872;CP5MG
715621;1500;M692;2022-04-30;48872;CP5MG
720332;1500;M692;2022-04-30;48872;CP5MG
720308;1500;M692;2022-04-30;48872;CP5MG
708525;1500;M692;2022-04-30;48872;CP5MG
715218;1500;M692;2022-04-30;48872;CP5MG
723521;1500;M692;2022-04-30;48872;CP5MG
732014;1500;M694;2022-04-30;48872;CP5MG
742153;1500;M694;2022-04-30;48872;CP5MG
737279;1500;M699;2022-04-30;48872;CP5MG
755018;1500;M699;2022-04-30;48872;CP5MG
733353;1500;M699;2022-04-30;48872;CP5MG
724660;1500;M699;2022-04-30;48872;CP5MG
748203;1500;M804;2022-05-30;48872;CP5MG
742860;1500;M804;2022-05-30;48872;CP5MG
759686;1500;M805;2022-05-30;48872;CP5MG
751094;1500;M805;2022-05-30;48872;CP5MG
747912;1500;M805;2022-05-30;48872;CP5MG
749851;1500;M805;2022-05-30;48872;CP5MG
745895;1500;M805;2022-05-30;48872;CP5MG
742882;1500;M808;2022-05-30;48872;CP5MG
760983;1500;N391;2022-09-30;48872;CP5MG
759685;1500;N391;2022-09-30;48872;CP5MG
765308;1500;N391;2022-09-30;48872;CP5MG
770008;1500;N391;2022-09-30;48872;CP5MG
752491;1500;N391;2022-09-30;48872;CP5MG
750266;1500;N391;2022-09-30;48872;CP5MG
751740;1500;N391;2022-09-30;48872;CP5MG
751666;1500;N391;2022-09-30;48872;CP5MG
752148;1500;N391;2022-09-30;48872;CP5MG
760974;1500;N410;2022-09-30;48872;CP5MG
753342;1500;N410;2022-09-30;48872;CP5MG
776410;1500;N428;2022-09-30;48872;CP5MG
772234;1500;N428;2022-09-30;48872;CP5MG
802943;1500;N551;2022-10-30;48872;CP5MG
799346;1500;N551;2022-10-30;48872;CP5MG
782371;1500;N551;2022-10-30;48872;CP5MG
772831;1500;N551;2022-10-30;48872;CP5MG
778379;1500;N551;2022-10-30;48872;CP5MG
790026;1500;N551;2022-10-30;48872;CP5MG
786474;1500;N551;2022-10-30;48872;CP5MG
776417;1500;N551;2022-10-30;48872;CP5MG
773578;1500;N551;2022-10-30;48872;CP5MG
773545;1500;N551;2022-10-30;48872;CP5MG
772975;1500;N551;2022-10-30;48872;CP5MG
768936;1500;N551;2022-10-30;48872;CP5MG
761885;1500;N551;2022-10-30;48872;CP5MG
758383;1500;N551;2022-10-30;48872;CP5MG
757289;1500;N551;2022-10-30;48872;CP5MG
767445;1500;N555;2022-10-30;48872;CP5MG
771229;1500;N555;2022-10-30;48872;CP5MG
783272;1501;003576;2022-11-30;48408;FR50MG
735051;1501;003576;2022-11-30;48408;FR50MG
735250;1501;003576;2022-11-30;48408;FR50MG
730049;1501;003576;2022-11-30;48408;FR50MG
731218;1501;03576;2022-11-30;48408;FR50MG
741557;1501;003576;2022-11-30;48408;FR50MG
726250;1501;003576;2022-11-30;48408;FR50MG
737055;1501;003576;2022-11-30;48408;FR50MG
738449;1501;003576;2022-11-30;48408;FR50MG
731546;1501;003576;2022-11-30;48408;FR50MG
755069;1501;03576;2022-11-30;48408;FR50MG
721736;1501;003576;2022-11-30;48408;FR50MG
709660;1501;003576;2022-11-30;48408;FR50MG
715622;1501;003576;2022-11-30;48408;FR50MG
709640;1501;003576;2022-11-30;48408;FR50MG
708550;1501;003576;2022-11-30;48408;FR50MG
725413;1501;003576;2022-11-30;48408;FR50MG
723465;1501;003576;2022-11-30;48408;FR50MG
714487;1501;003576;2022-11-30;48408;FR50MG
716375;1501;003576;2022-11-30;48408;FR50MG
771176;1501;004057;2022-11-30;48408;FR50MG
752783;1501;004057;2022-11-30;48408;FR50MG
749551;1501;004057;2022-11-30;48408;FR50MG
753269;1501;004057;2022-11-30;48408;FR50MG
749473;1501;004057;2022-11-30;48408;FR50MG
744192;1501;004057;2022-11-30;48408;FR50MG
821028;1501;006734;2023-07-30;48408;FR50MG
801053;1501;006734;2023-07-30;48408;FR50MG
794641;1501;006734;2023-07-30;48408;FR50MG
773412;1501;006734;2023-07-30;48408;FR50MG
793974;1501;006734;2023-07-30;48408;FR50MG
793086;1501;006734;2023-07-30;48408;FR50MG
789143;1501;006734;2023-07-30;48408;FR50MG
764192;1501;006734;2023-07-30;48408;FR50MG
762526;1501;006734;2023-07-30;48408;FR50MG
765905;1501;006734;2023-07-30;48408;FR50MG
765980;1501;006734;2023-07-30;48408;FR50MG
765660;1501;006734;2023-07-30;48408;FR50MG
685027;1501;90485;2022-04-30;48408;FR50MG
818363;1501;904858;2022-04-30;48408;FR50MG
755067;1501;904858;2022-04-30;48408;FR50MG
682107;1501;904858;2022-04-30;48408;FR50MG
682995;1501;904858;2022-04-30;48408;FR50MG
689114;1501;904858;2022-04-30;48408;FR50MG
681179;1501;904858;2022-04-30;48408;FR50MG
685771;1501;904858;2022-04-30;48408;FR50MG
703600;1501;904858;2022-04-30;48408;FR50MG
703947;1501;904858;2022-04-30;48408;FR50MG
705351;1501;904858;2022-04-30;48408;FR50MG
693108;1501;904858;2022-04-30;48408;FR50MG
818364;1501;905356;2022-04-30;48408;FR50MG
730016;1501;905356;2022-04-30;48408;FR50MG
709312;1501;905356;2022-04-30;48408;FR50MG
716853;1501;905356;2022-04-30;48408;FR50MG
692896;1501;905356;2022-04-30;48408;FR50MG
690277;1501;905356;2022-04-30;48408;FR50MG
704561;1501;905356;2022-04-30;48408;FR50MG
688803;1501;905356;2022-04-30;48408;FR50MG
703226;1501;905356;2022-04-30;48408;FR50MG
696019;1501;905356;2022-04-30;48408;FR50MG
697704;1501;905356;2022-04-30;48408;FR50MG
828514;1504;01;2022-01-01;48440;AMP6MG
805986;1504;0215;2022-10-30;48440;AMP6MG
776735;1504;00255;2023-10-30;48440;AMP6MG
811124;1504;652445;2022-05-30;48440;AMP6MG
696727;1504;1344789;2027-01-04;48440;AMP6MG
806150;1504;20E0076;2022-05-30;48440;AMP6MG
806738;1504;191C0326;2021-11-30;48440;AMP6MG
801763;1504;19K0236;2021-11-30;48440;AMP6MG
747269;1504;19K0326;2021-11-14;48440;AMP6MG
823202;1504;19K0326;2021-11-30;48440;AMP6MG
797134;1504;19K0326;2021-11-30;48440;AMP6MG
800769;1504;19K0326;2021-11-30;48440;AMP6MG
798674;1504;19K0326;2021-11-30;48440;AMP6MG
800376;1504;19K0326;2021-11-30;48440;AMP6MG
797950;1504;19K0326;2021-11-30;48440;AMP6MG
826958;1504;19K0326;2021-11-30;48440;AMP6MG
819391;1504;19K0326;2021-11-30;48440;AMP6MG
804560;1504;19K0326;2021-11-30;48440;AMP6MG
798476;1504;19K0326;2021-11-30;48440;AMP6MG
798949;1504;19K0326;2021-11-30;48440;AMP6MG
827673;1504;19K0326;2021-11-30;48440;AMP6MG
798077;1504;19K0326;2021-11-30;48440;AMP6MG
801741;1504;19K0326;2021-11-30;48440;AMP6MG
796390;1504;19K0326;2021-11-30;48440;AMP6MG
