CD_IDENTIFICADOR;CD_PRODUTO;CD_LOTE;CD_UNI_PRO;DT_VALIDADE;DS_UNIDADE
689871;75313;19100472;64248;30/10/2021;FR100MG
687377;75313;19100473;64248;30/10/2021;FR100MG
686013;75313;19110521;64248;30/11/2021;FR100MG
682954;75313;19100053;64248;31/10/2021;FR100MG
686575;75313;19100472;64248;30/10/2021;FR100MG
690760;75313;19100467;64248;30/10/2021;FR100MG
686173;75313;19110164;64248;30/11/2021;FR100MG
681766;75313;19100052;64248;30/10/2021;FR100MG
687016;75313;19100472;64248;30/10/2021;FR100MG
694274;75313;19100472;64248;30/10/2021;FR100MG
700996;75313;20060604;64248;30/06/2022;FR100MG
699515;75313;20060604;64248;30/06/2022;FR100MG
697274;75313;19100467;64248;30/10/2021;FR100MG
697273;75313;20020413;64248;28/02/2022;FR100MG
697271;75313;19100472;64248;30/10/2021;FR100MG
685530;75313;19110164;64248;30/11/2021;FR100MG
696592;75313;19100472;64248;30/10/2021;FR100MG
683539;75313;19100052;64248;30/10/2021;FR100MG
819134;8636;F67909;34458;15/04/2023;FR5ML
819132;8636;F65624;34458;26/05/2022;FR5ML
776742;8636;F65624;34458;26/05/2022;FR5ML
771251;8636;F65767;34458;27/05/2022;FR5ML
769752;8636;F65767;34458;27/05/2022;FR5ML
770989;8636;F65625;34458;26/05/2022;FR5ML
770883;8636;F67850;34458;08/04/2023;FR5ML
747627;8636;F65620;34458;22/05/2022;FR5ML
757123;8636;F65625;34458;26/05/2022;FR5ML
796133;66321;27744;51541;30/11/2021;FR5ML
799626;66321;27744;51541;30/11/2021;FR5ML
779630;66321;27744;51541;30/11/2021;FR5ML
793151;66321;27744;51541;30/11/2021;FR5ML
755541;66321;27744;51541;30/11/2021;FR5ML
491198;67792;1910;53006;19/10/2022;FR240ML
693860;58268;200121;35477;30/01/2022;CP150MG
800358;70886;305070;56132;30/12/2021;FR5000ML
665039;78436;0536236;63645;30/10/2022;CP10MG
823343;53149;21D0303;30401;30/04/2023;COMPRIMIDO
825569;70717;1I096;55956;28/02/2023;FLC5ML
827648;70717;1I079;55956;31/03/2023;FLC5ML
819897;70717;0I193;55956;30/09/2022;FLC5ML
700682;70717;0I035;55956;31/01/2022;FLC5ML
702921;70717;0I035;55956;31/01/2022;FLC5ML
758015;64281;MMDR520;41331;07/07/2025;UNIDADE
758016;64282;MMFS380;41332;19/11/2025;UNIDADE
823249;1751;AM29042105;65532;30/04/2022;FR10ML
823874;1751;29042105;65532;30/04/2022;FR10ML
777614;1751;AM29042105;65532;30/04/2022;FR10ML
794573;1751; AM09062105;65532;30/06/2022;FR10ML
770931;1751;368-FP1;65532;15/04/2022;FR10ML
762450;1751;345;65532;30/01/2022;FR10ML
762910;1751;364;65532;18/03/2022;FR10ML
771992;1751;AM29042105;65532;30/04/2022;FR10ML
757467;1751;348;65532;03/02/2022;FR10ML
752025;1751;329;65532;12/11/2021;FR10ML
729384;1751;AM06102006;65532;30/10/2021;FR10ML
678786;1751;9100097;65532;03/10/2021;FR10ML
686772;1751; 9100097;65532;03/10/2021;FR10ML
828481;53245;0000142429;30502;02/09/2022;FR100ML
804014;53245;0000140313;30502;29/06/2022;FR100ML
804003;53245; 0000142428;30502;02/09/2022;FR100ML
826855;53245;0000142428;30502;30/09/2022;FR100ML
826382;53245;0000140313;30502;29/06/2022;FR100ML
765436;53245;0000140313;30502;29/06/2022;FR100ML
765431;53245; 0000142428;30502;02/09/2022;FR100ML
729096;53245;0000136559;30502;06/03/2022;FR100ML
748581;53245;0000140313;30502;29/06/2022;FR100ML
744863;53245;0000142428;30502;02/09/2022;FR100ML
746464;53245; 0000142428;30502;02/09/2022;FR100ML
749474;53245; 0000142428;30502;02/09/2022;FR100ML
752127;53245;0000142428;30502;30/09/2022;FR100ML
746463;53245; 0000142428;30502;02/09/2022;FR100ML
750090;53245; 0000142428;30502;02/09/2022;FR100ML
747052;53245;04012021;30502;01/02/2022;FR100ML
747051;53245;0000142428;30502;02/09/2022;FR100ML
747484;53245;0000136559;30502;06/03/2022;FR100ML
747222;53245; 0000142428;30502;02/09/2022;FR100ML
750647;53245;0000142428;30502;02/09/2022;FR100ML
750646;53245;05022021;30502;02/02/2022;FR100ML
750680;53245; 0000142428;30502;02/09/2022;FR100ML
750766;53245; 0000142428;30502;02/09/2022;FR100ML
750765;53245;0000140313;30502;29/06/2022;FR100ML
737796;53245;0000140725;30502;10/07/2022;FR100ML
736028;53245;0000136559;30502;06/03/2022;FR100ML
740008;53245;0000140841;30502;13/07/2022;FR100ML
753047;53245; 0000142428;30502;02/09/2022;FR100ML
747055;53245; 0000142428;30502;02/09/2022;FR100ML
750582;53245; 0000142428;30502;02/09/2022;FR100ML
756868;53245;0000142429;30502;02/09/2022;FR100ML
702001;53245;0000138110;30502;08/05/2022;FR100ML
690605;53245;0000136559;30502;06/03/2022;FR100ML
682015;53245;0000134652;30502;31/12/2021;FR100ML
681981;53245;0000134652;30502;04/12/2021;FR100ML
745627;70603;66239;55837;15/11/2021;FR20MG
744391;70603;66239;55837;15/11/2021;FR20MG
748281;66426;1135037;51640;28/02/2023;CP160MG
686649;66426;1094972;51640;31/01/2022;CP160MG
695188;66426;.1094972;51640;30/01/2022;CP160MG
702963;66426;1106224;51640;31/03/2022;CP160MG
695505;66426;1094972;51640;31/01/2022;CP160MG
697475;66426;1125441;51640;30/10/2022;CP160MG
694154;66426;1094972;51640;30/01/2022;CP160MG
695582;66426;.1094972;51640;30/01/2022;CP160MG
695175;66426;1094972;51640;31/01/2022;CP160MG
699433;66426;1106224;51640;31/03/2022;CP160MG
695583;66426;1094972;51640;30/01/2022;CP160MG
694153;66426;1094972;51640;30/01/2022;CP160MG
809942;57277;KLL1Q00;34513;31/12/2023;CP1MG
820291;57277;KLL1Q01;34513;31/12/2023;CP1MG
809903;57277;KLL1Q00;34513;30/12/2023;CP1MG
826893;57277;KLL1Q01;34513;31/12/2023;CP1MG
828577;57277;KLL1Q01;34513;31/12/2023;CP1MG
825994;57277;KLL1Q00;34513;31/12/2023;CP1MG
825993;57277;KLL1Q01;34513;31/12/2023;CP1MG
828078;57277;KLL1Q00;34513;30/12/2023;CP1MG
826238;57277;KFL3V01;34513;30/05/2023;CP1MG
797169;57277;KFL3V01;34513;30/05/2023;CP1MG
791811;57277;KFL3V01;34513;30/05/2023;CP1MG
763587;57277;KLL1Q00;34513;31/12/2023;CP1MG
765159;57277; KLL1Q00;34513;30/12/2023;CP1MG
761371;57277;KFL3V00;34513;30/05/2023;CP1MG
766498;57277;KFL3V01;34513;30/05/2023;CP1MG
770284;57277;KFL3V01;34513;30/05/2023;CP1MG
767944;57277;KLL1Q00;34513;30/12/2023;CP1MG
729098;57277;JBL2P00;34513;30/01/2022;CP1MG
729040;57277;JGL5900;34513;30/06/2022;CP1MG
746918;57277;JGL5902;34513;30/06/2022;CP1MG
748392;57277;JJL6B01;34513;30/10/2022;CP1MG
751050;57277;KFL3V00;34513;30/05/2023;CP1MG
750912;57277;KFL3V00;34513;30/05/2023;CP1MG
730984;57277;KDL0701;34513;30/03/2023;CP1MG
757984;57277;KFL3V01;34513;30/05/2023;CP1MG
755314;57277;KFL3V01;34513;30/05/2023;CP1MG
